Sno,Province/State,Country,latitude,longitude,Date,loc_id,Key,Confirmed,Deaths,Recovered
0,Not defined,Thailand,15,101,1/22/2020,0,0,2,0,0
1,Not defined,Thailand,15,101,1/23/2020,0,1,1,0,0
2,Not defined,Thailand,15,101,1/24/2020,0,2,2,0,0
3,Not defined,Thailand,15,101,1/25/2020,0,3,2,0,0
4,Not defined,Thailand,15,101,1/26/2020,0,4,1,0,2
5,Not defined,Thailand,15,101,1/27/2020,0,5,0,0,0
6,Not defined,Thailand,15,101,1/28/2020,0,6,6,0,3
7,Not defined,Thailand,15,101,1/29/2020,0,7,0,0,0
8,Not defined,Thailand,15,101,1/30/2020,0,8,0,0,0
9,Not defined,Thailand,15,101,1/31/2020,0,9,5,0,0
10,Not defined,Thailand,15,101,2/1/2020,0,10,0,0,0
11,Not defined,Thailand,15,101,2/2/2020,0,11,0,0,0
12,Not defined,Thailand,15,101,2/3/2020,0,12,0,0,0
13,Not defined,Thailand,15,101,2/4/2020,0,13,6,0,0
14,Not defined,Thailand,15,101,2/5/2020,0,14,0,0,0
15,Not defined,Thailand,15,101,2/6/2020,0,15,0,0,0
16,Not defined,Thailand,15,101,2/7/2020,0,16,0,0,0
17,Not defined,Thailand,15,101,2/8/2020,0,17,7,0,5
18,Not defined,Thailand,15,101,2/9/2020,0,18,0,0,0
19,Not defined,Thailand,15,101,2/10/2020,0,19,0,0,0
20,Not defined,Thailand,15,101,2/11/2020,0,20,1,0,0
21,Not defined,Thailand,15,101,2/12/2020,0,21,0,0,0
22,Not defined,Thailand,15,101,2/13/2020,0,22,0,0,2
23,Not defined,Thailand,15,101,2/14/2020,0,23,0,0,0
24,Not defined,Thailand,15,101,2/15/2020,0,24,0,0,0
25,Not defined,Thailand,15,101,2/16/2020,0,25,1,0,2
26,Not defined,Thailand,15,101,2/17/2020,0,26,1,0,1
27,Not defined,Thailand,15,101,2/18/2020,0,27,0,0,0
28,Not defined,Thailand,15,101,2/19/2020,0,28,0,0,0
29,Not defined,Thailand,15,101,2/20/2020,0,29,0,0,0
30,Not defined,Thailand,15,101,2/21/2020,0,30,0,0,2
31,Not defined,Thailand,15,101,2/22/2020,0,31,0,0,0
32,Not defined,Thailand,15,101,2/23/2020,0,32,0,0,4
33,Not defined,Thailand,15,101,2/24/2020,0,33,0,0,0
34,Not defined,Thailand,15,101,2/25/2020,0,34,2,0,1
35,Not defined,Thailand,15,101,2/26/2020,0,35,3,0,0
36,Not defined,Thailand,15,101,2/27/2020,0,36,0,0,0
37,Not defined,Thailand,15,101,2/28/2020,0,37,1,0,6
38,Not defined,Thailand,15,101,2/29/2020,0,38,1,0,0
39,Not defined,Thailand,15,101,3/1/2020,0,39,0,1,0
40,Not defined,Thailand,15,101,3/2/2020,0,40,1,0,3
41,Not defined,Thailand,15,101,3/3/2020,0,41,0,0,0
42,Not defined,Thailand,15,101,3/4/2020,0,42,0,0,0
43,Not defined,Thailand,15,101,3/5/2020,0,43,4,0,0
44,Not defined,Thailand,15,101,3/6/2020,0,44,1,0,0
45,Not defined,Thailand,15,101,3/7/2020,0,45,2,0,0
46,Not defined,Thailand,15,101,3/8/2020,0,46,0,0,0
47,Not defined,Thailand,15,101,3/9/2020,0,47,0,0,0
48,Not defined,Thailand,15,101,3/10/2020,0,48,3,0,2
49,Not defined,Thailand,15,101,3/11/2020,0,49,6,0,1
50,Not defined,Thailand,15,101,3/12/2020,0,50,11,0,0
51,Not defined,Thailand,15,101,3/13/2020,0,51,5,0,1
52,Not defined,Thailand,15,101,3/14/2020,0,52,7,0,0
53,Not defined,Thailand,15,101,3/15/2020,0,53,32,0,0
54,Not defined,Japan,36,138,1/22/2020,1,54,2,0,0
55,Not defined,Japan,36,138,1/23/2020,1,55,-1,0,0
56,Not defined,Japan,36,138,1/24/2020,1,56,1,0,0
57,Not defined,Japan,36,138,1/25/2020,1,57,0,0,0
58,Not defined,Japan,36,138,1/26/2020,1,58,2,0,1
59,Not defined,Japan,36,138,1/27/2020,1,59,0,0,0
60,Not defined,Japan,36,138,1/28/2020,1,60,3,0,0
61,Not defined,Japan,36,138,1/29/2020,1,61,0,0,0
62,Not defined,Japan,36,138,1/30/2020,1,62,4,0,0
63,Not defined,Japan,36,138,1/31/2020,1,63,4,0,0
64,Not defined,Japan,36,138,2/1/2020,1,64,5,0,0
65,Not defined,Japan,36,138,2/2/2020,1,65,0,0,0
66,Not defined,Japan,36,138,2/3/2020,1,66,0,0,0
67,Not defined,Japan,36,138,2/4/2020,1,67,2,0,0
68,Not defined,Japan,36,138,2/5/2020,1,68,0,0,0
69,Not defined,Japan,36,138,2/6/2020,1,69,23,0,0
70,Not defined,Japan,36,138,2/7/2020,1,70,-20,0,0
71,Not defined,Japan,36,138,2/8/2020,1,71,0,0,0
72,Not defined,Japan,36,138,2/9/2020,1,72,1,0,0
73,Not defined,Japan,36,138,2/10/2020,1,73,0,0,3
74,Not defined,Japan,36,138,2/11/2020,1,74,0,0,5
75,Not defined,Japan,36,138,2/12/2020,1,75,2,0,0
76,Not defined,Japan,36,138,2/13/2020,1,76,0,1,0
77,Not defined,Japan,36,138,2/14/2020,1,77,1,0,0
78,Not defined,Japan,36,138,2/15/2020,1,78,14,0,3
79,Not defined,Japan,36,138,2/16/2020,1,79,16,0,0
80,Not defined,Japan,36,138,2/17/2020,1,80,7,0,0
81,Not defined,Japan,36,138,2/18/2020,1,81,8,0,1
82,Not defined,Japan,36,138,2/19/2020,1,82,10,0,5
83,Not defined,Japan,36,138,2/20/2020,1,83,10,0,0
84,Not defined,Japan,36,138,2/21/2020,1,84,11,0,4
85,Not defined,Japan,36,138,2/22/2020,1,85,17,0,0
86,Not defined,Japan,36,138,2/23/2020,1,86,25,0,0
87,Not defined,Japan,36,138,2/24/2020,1,87,12,0,0
88,Not defined,Japan,36,138,2/25/2020,1,88,11,0,0
89,Not defined,Japan,36,138,2/26/2020,1,89,19,1,0
90,Not defined,Japan,36,138,2/27/2020,1,90,25,2,0
91,Not defined,Japan,36,138,2/28/2020,1,91,14,0,0
92,Not defined,Japan,36,138,2/29/2020,1,92,13,1,10
93,Not defined,Japan,36,138,3/1/2020,1,93,15,1,0
94,Not defined,Japan,36,138,3/2/2020,1,94,18,0,0
95,Not defined,Japan,36,138,3/3/2020,1,95,19,0,11
96,Not defined,Japan,36,138,3/4/2020,1,96,38,0,0
97,Not defined,Japan,36,138,3/5/2020,1,97,29,0,0
98,Not defined,Japan,36,138,3/6/2020,1,98,60,0,3
99,Not defined,Japan,36,138,3/7/2020,1,99,41,0,30
100,Not defined,Japan,36,138,3/8/2020,1,100,41,0,0
101,Not defined,Japan,36,138,3/9/2020,1,101,9,4,0
102,Not defined,Japan,36,138,3/10/2020,1,102,70,0,25
103,Not defined,Japan,36,138,3/11/2020,1,103,58,5,17
104,Not defined,Japan,36,138,3/12/2020,1,104,0,1,0
105,Not defined,Japan,36,138,3/13/2020,1,105,62,3,0
106,Not defined,Japan,36,138,3/14/2020,1,106,72,3,0
107,Not defined,Japan,36,138,3/15/2020,1,107,66,0,0
108,Not defined,Singapore,1.2833,103.8333,1/22/2020,2,108,0,0,0
109,Not defined,Singapore,1.2833,103.8333,1/23/2020,2,109,1,0,0
110,Not defined,Singapore,1.2833,103.8333,1/24/2020,2,110,2,0,0
111,Not defined,Singapore,1.2833,103.8333,1/25/2020,2,111,0,0,0
112,Not defined,Singapore,1.2833,103.8333,1/26/2020,2,112,1,0,0
113,Not defined,Singapore,1.2833,103.8333,1/27/2020,2,113,1,0,0
114,Not defined,Singapore,1.2833,103.8333,1/28/2020,2,114,2,0,0
115,Not defined,Singapore,1.2833,103.8333,1/29/2020,2,115,0,0,0
116,Not defined,Singapore,1.2833,103.8333,1/30/2020,2,116,3,0,0
117,Not defined,Singapore,1.2833,103.8333,1/31/2020,2,117,3,0,0
118,Not defined,Singapore,1.2833,103.8333,2/1/2020,2,118,3,0,0
119,Not defined,Singapore,1.2833,103.8333,2/2/2020,2,119,2,0,0
120,Not defined,Singapore,1.2833,103.8333,2/3/2020,2,120,0,0,0
121,Not defined,Singapore,1.2833,103.8333,2/4/2020,2,121,6,0,0
122,Not defined,Singapore,1.2833,103.8333,2/5/2020,2,122,4,0,0
123,Not defined,Singapore,1.2833,103.8333,2/6/2020,2,123,0,0,0
124,Not defined,Singapore,1.2833,103.8333,2/7/2020,2,124,2,0,0
125,Not defined,Singapore,1.2833,103.8333,2/8/2020,2,125,3,0,2
126,Not defined,Singapore,1.2833,103.8333,2/9/2020,2,126,7,0,0
127,Not defined,Singapore,1.2833,103.8333,2/10/2020,2,127,5,0,0
128,Not defined,Singapore,1.2833,103.8333,2/11/2020,2,128,2,0,7
129,Not defined,Singapore,1.2833,103.8333,2/12/2020,2,129,3,0,6
130,Not defined,Singapore,1.2833,103.8333,2/13/2020,2,130,8,0,0
131,Not defined,Singapore,1.2833,103.8333,2/14/2020,2,131,9,0,2
132,Not defined,Singapore,1.2833,103.8333,2/15/2020,2,132,5,0,1
133,Not defined,Singapore,1.2833,103.8333,2/16/2020,2,133,3,0,0
134,Not defined,Singapore,1.2833,103.8333,2/17/2020,2,134,2,0,6
135,Not defined,Singapore,1.2833,103.8333,2/18/2020,2,135,4,0,5
136,Not defined,Singapore,1.2833,103.8333,2/19/2020,2,136,3,0,5
137,Not defined,Singapore,1.2833,103.8333,2/20/2020,2,137,0,0,0
138,Not defined,Singapore,1.2833,103.8333,2/21/2020,2,138,1,0,3
139,Not defined,Singapore,1.2833,103.8333,2/22/2020,2,139,0,0,0
140,Not defined,Singapore,1.2833,103.8333,2/23/2020,2,140,4,0,14
141,Not defined,Singapore,1.2833,103.8333,2/24/2020,2,141,0,0,0
142,Not defined,Singapore,1.2833,103.8333,2/25/2020,2,142,2,0,2
143,Not defined,Singapore,1.2833,103.8333,2/26/2020,2,143,2,0,9
144,Not defined,Singapore,1.2833,103.8333,2/27/2020,2,144,0,0,0
145,Not defined,Singapore,1.2833,103.8333,2/28/2020,2,145,0,0,0
146,Not defined,Singapore,1.2833,103.8333,2/29/2020,2,146,9,0,10
147,Not defined,Singapore,1.2833,103.8333,3/1/2020,2,147,4,0,0
148,Not defined,Singapore,1.2833,103.8333,3/2/2020,2,148,2,0,6
149,Not defined,Singapore,1.2833,103.8333,3/3/2020,2,149,2,0,0
